Config: 
 {
  "model_name": "dsc_cifar_100p_data_100p_params",
  "num_classes": 10,
  "in_features": 1024,
  "epochs": 100,
  "batch_size": 32,
  "lr": 0.01,
  "lr_decay": false,
  "train_p": 90.0,
  "test_p": 100,
  "dnn_config": {
    "layers": [
      150,
      100,
      10
    ]
  },
  "early_stopping": true,
  "patience": 5,
  "valid_p": 10.0,
  "optimizer": "adam"
} 

CIFAR-10 Dataset:
Training on 45000 samples (90.0% of 50000) 
Valid on 5000 samples (10.0% of 50000)
Test on 10000 samples (100% of 10000)

Files already downloaded and verified
Files already downloaded and verified
Running test for every 1 epoch
Model: 

LinearClassifierDSC(
  (layers): ModuleList(
    (0): Linear(in_features=1024, out_features=150, bias=True)
    (1): Linear(in_features=1174, out_features=100, bias=True)
    (2): Linear(in_features=1274, out_features=10, bias=True)
  )
  (relu_activation): ReLU()
  (softmax_activation): LogSoftmax()
)


Summary: 

----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Linear-1                  [-1, 150]         153,750
              ReLU-2                  [-1, 150]               0
            Linear-3                  [-1, 100]         117,500
              ReLU-4                  [-1, 100]               0
            Linear-5                   [-1, 10]          12,750
            Linear-6                   [-1, 10]          12,750
        LogSoftmax-7                   [-1, 10]               0
================================================================
Total params: 296,750
Trainable params: 296,750
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.00
Params size (MB): 1.13
Estimated Total Size (MB): 1.14
----------------------------------------------------------------


Train Epoch: 1 | Loss: 2.101033 | Acc: 0.3038| MSE: 0.0848 || V Loss: 1.8425| V Acc: 0.3591| V MSE: 0.0785| CS: ({'0': 0.46, '1': 0.56, '2': 0.51, '3': 0.4, '4': 0.33, '5': 0.59, '6': 0.39, '7': 0.55, '8': 0.51, '9': 0.53}, 0.48)
Test | NLL Loss: 1.848959 | Acc: 0.3630 | MSE: 0.07852635469537574| CS: ({'0': 0.47, '1': 0.57, '2': 0.51, '3': 0.41, '4': 0.33, '5': 0.62, '6': 0.37, '7': 0.51, '8': 0.49, '9': 0.55}, 0.48)
Train Epoch: 2 | Loss: 1.737903 | Acc: 0.3911| MSE: 0.0748 || V Loss: 1.7031| V Acc: 0.4059| V MSE: 0.0733| CS: ({'0': 0.44, '1': 0.59, '2': 0.39, '3': 0.45, '4': 0.32, '5': 0.48, '6': 0.41, '7': 0.59, '8': 0.6, '9': 0.57}, 0.48)
Test | NLL Loss: 1.711874 | Acc: 0.4010 | MSE: 0.07377421108488076| CS: ({'0': 0.44, '1': 0.59, '2': 0.41, '3': 0.41, '4': 0.34, '5': 0.5, '6': 0.4, '7': 0.56, '8': 0.6, '9': 0.58}, 0.48)
Train Epoch: 3 | Loss: 1.635221 | Acc: 0.4239| MSE: 0.0714 || V Loss: 1.6549| V Acc: 0.4150| V MSE: 0.0721| CS: ({'0': 0.57, '1': 0.62, '2': 0.42, '3': 0.4, '4': 0.33, '5': 0.52, '6': 0.51, '7': 0.67, '8': 0.52, '9': 0.56}, 0.51)
Test | NLL Loss: 1.678906 | Acc: 0.4085 | MSE: 0.07283249252234784| CS: ({'0': 0.57, '1': 0.61, '2': 0.41, '3': 0.39, '4': 0.34, '5': 0.55, '6': 0.5, '7': 0.62, '8': 0.52, '9': 0.59}, 0.51)
Train Epoch: 4 | Loss: 1.564397 | Acc: 0.4492| MSE: 0.0690 || V Loss: 1.6275| V Acc: 0.4329| V MSE: 0.0708| CS: ({'0': 0.59, '1': 0.63, '2': 0.48, '3': 0.4, '4': 0.39, '5': 0.51, '6': 0.5, '7': 0.66, '8': 0.58, '9': 0.55}, 0.53)
Test | NLL Loss: 1.639466 | Acc: 0.4264 | MSE: 0.07136782538443327| CS: ({'0': 0.61, '1': 0.64, '2': 0.49, '3': 0.4, '4': 0.39, '5': 0.52, '6': 0.5, '7': 0.65, '8': 0.58, '9': 0.58}, 0.54)
Train Epoch: 5 | Loss: 1.504047 | Acc: 0.4722| MSE: 0.0667 || V Loss: 1.5948| V Acc: 0.4498| V MSE: 0.0693| CS: ({'0': 0.58, '1': 0.68, '2': 0.47, '3': 0.46, '4': 0.4, '5': 0.48, '6': 0.5, '7': 0.66, '8': 0.58, '9': 0.61}, 0.54)
Test | NLL Loss: 1.617293 | Acc: 0.4323 | MSE: 0.07062591377871867| CS: ({'0': 0.57, '1': 0.68, '2': 0.47, '3': 0.43, '4': 0.39, '5': 0.5, '6': 0.52, '7': 0.66, '8': 0.58, '9': 0.62}, 0.54)
Train Epoch: 6 | Loss: 1.454689 | Acc: 0.4871| MSE: 0.0649 || V Loss: 1.5807| V Acc: 0.4506| V MSE: 0.0690| CS: ({'0': 0.57, '1': 0.67, '2': 0.49, '3': 0.44, '4': 0.42, '5': 0.52, '6': 0.56, '7': 0.7, '8': 0.58, '9': 0.61}, 0.56)
